State,District,Latitude,Longitude,District code,State name,Population,Male_Literate,Female_Literate,sex_ratio,literacy_rate
Jammu and Kashmir,Doda,33.359614675767915,76.07163720136518,16,JAMMU AND KASHMIR,409936,138620,80463,919.0,53.0
Jammu and Kashmir,Jammu,32.713199095022645,74.8477520361991,21,JAMMU AND KASHMIR,1529958,641916,495219,880.0,74.0
Jammu and Kashmir,Kargil,33.565994894894914,76.63675315315312,4,JAMMU AND KASHMIR,140802,56301,29935,810.0,61.0
Jammu and Kashmir,Kathua,32.51781678321678,75.58901398601404,7,JAMMU AND KASHMIR,616435,228499,160705,890.0,63.0
Jammu and Kashmir,Pulwama,33.88414418604652,75.00921860465118,12,JAMMU AND KASHMIR,560440,178326,115632,912.0,52.0
Jammu and Kashmir,Punch,33.791241290322574,74.29593161290322,5,JAMMU AND KASHMIR,476835,163333,98391,893.0,55.0
Jammu and Kashmir,Srinagar,34.27312898550724,75.11021159420288,10,JAMMU AND KASHMIR,1236829,431746,316838,900.0,61.0
Jammu and Kashmir,Udhampur,33.04770670731707,75.15286951219511,19,JAMMU AND KASHMIR,554985,197543,124811,870.0,58.0
Jharkhand,Bokaro,23.6814965034965,85.98398374125864,355,JHARKHAND,2062330,759088,514432,922.0,62.0
Jharkhand,Chatra,24.11619945750453,84.93295804701627,347,JHARKHAND,1042886,303902,206159,953.0,49.0
Jharkhand,Deoghar,24.33070100755672,86.75697632241814,350,JHARKHAND,1492073,489837,303701,925.0,53.0
Jharkhand,Dhanbad,23.854509090909097,86.40372924901185,354,JHARKHAND,2684487,1014950,707254,909.0,64.0
Jharkhand,Dumka,24.275006125574265,87.27662450229711,362,JHARKHAND,1321442,406275,266134,977.0,51.0
Jharkhand,Garhwa,24.082114689265527,83.68664265536722,346,JHARKHAND,1322784,405161,248315,935.0,49.0
Jharkhand,Giridih,24.30578509874329,86.08710915619386,349,JHARKHAND,2445474,783736,469739,944.0,51.0
Jharkhand,Godda,24.8189,87.2941735483871,351,JHARKHAND,1313551,376212,228307,938.0,46.0
Jharkhand,Gumla,23.078532948929148,84.55056787479396,366,JHARKHAND,1025213,321795,237925,993.0,55.0
Jharkhand,Jamtara,23.97873318077801,86.95325080091534,363,JHARKHAND,791042,258260,168052,954.0,54.0
Jharkhand,Latehar,23.72511185840708,84.48298743362837,359,JHARKHAND,726978,209706,140976,967.0,48.0
Jharkhand,Lohardaga,23.488796043165483,84.6605169064748,356,JHARKHAND,461790,149568,110139,985.0,56.0
Jharkhand,Pakur,24.57260428082189,87.69691969178076,353,JHARKHAND,900422,206989,145892,989.0,39.0
Jharkhand,Palamu,24.196925968109337,84.20310842824594,358,JHARKHAND,1939869,621706,402857,928.0,53.0
Jharkhand,Ranchi,23.184235061391547,85.31781937244203,364,JHARKHAND,2914253,1085244,826189,949.0,66.0
Jharkhand,Sahibganj,24.93667989690721,87.68264097938142,352,JHARKHAND,1150567,287303,195960,952.0,42.0
Jharkhand,Simdega,22.608760391198054,84.59193691931536,367,JHARKHAND,599578,191991,151492,997.0,57.0
Karnataka,Bagalkot,16.15860676328503,75.64526070853468,556,KARNATAKA,1889752,641388,472024,989.0,59.0
Karnataka,Bangalore Rural,12.936827087794448,77.47369314775169,583,KARNATAKA,990923,385311,303438,946.0,70.0
Karnataka,Belgaum,16.16107219152853,74.72329042357275,555,KARNATAKA,4779661,1725548,1326484,973.0,64.0
Karnataka,Bellary,15.074377548209377,76.47228471074374,565,KARNATAKA,2452595,813440,608181,983.0,58.0
Karnataka,Bidar,17.950361730769224,77.19459961538459,558,KARNATAKA,1703300,597198,445475,956.0,61.0
Karnataka,Bijapur,16.84015316666667,75.95909166666665,417,CHHATTISGARH,255230,54076,32843,984.0,34.0
Karnataka,Bijapur,16.84015316666667,75.95909166666665,557,KARNATAKA,2177331,730566,517702,960.0,57.0
Karnataka,Chikmagalur,13.425288289676422,75.67626502311249,570,KARNATAKA,1137961,438257,380088,1008.0,72.0
Karnataka,Chitradurga,14.29102220394736,76.57821957236843,566,KARNATAKA,1659456,607188,480204,974.0,66.0
Karnataka,Davanagere,14.330414586709884,75.91723841166937,567,KARNATAKA,1945497,720637,587903,972.0,67.0
Karnataka,Dharwad,15.343831376975173,75.13831264108359,562,KARNATAKA,1847023,711776,589888,971.0,70.0
Karnataka,Gadag,15.507128256880746,75.64861302752298,561,KARNATAKA,1064570,397178,302999,982.0,66.0
Karnataka,Gulbarga,17.070459515951594,76.87503850385033,579,KARNATAKA,2566326,828359,599009,971.0,56.0
Karnataka,Hassan,12.945098749999998,76.11049549999997,574,KARNATAKA,1776421,668836,556420,1010.0,69.0
Karnataka,Haveri,14.737582809224318,75.3961230607966,564,KARNATAKA,1597668,603793,481650,950.0,68.0
Karnataka,Kodagu,12.39684468085106,75.79336595744688,576,KARNATAKA,554519,215302,197575,1019.0,74.0
Karnataka,Kolar,13.312799881235172,78.01376947743476,581,KARNATAKA,1536401,564110,452109,979.0,66.0
Karnataka,Koppal,15.651253271028034,76.1617048598131,560,KARNATAKA,1389920,468785,340300,986.0,58.0
Karnataka,Mandya,12.574901806239744,76.81570098522172,573,KARNATAKA,1805769,638668,510981,995.0,64.0
Karnataka,Mysore,12.248100259403367,76.52881802853437,577,KARNATAKA,3001127,1063766,898414,985.0,65.0
Karnataka,Raichur,16.050795353982295,76.87368606194688,559,KARNATAKA,1928812,577213,402556,1000.0,51.0
Karnataka,Shimoga,14.063845885634592,75.17882078103197,568,KARNATAKA,1752753,674938,588078,998.0,72.0
